pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
u_Single_Amput,0.6499999999999999,0.75,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Single_Amput,0.6499999999999999,0.75,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Multiple_Amput,0.5599999999999999,0.66,MenC,4283.980661763049,4283.980661763049,0,0
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Multiple_Amput,0.5599999999999999,0.66,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Neuro_Disability,0.01,0.11,MenC,4283.980661763049,4283.980661763049,0,0
u_Neuro_Disability,0.01,0.11,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Neuro_Disability,0.01,0.11,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Neuro_Disability,0.01,0.11,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Hearing_Loss,0.6699999999999999,0.77,MenC,4283.980661763049,4283.980661763049,0,0
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Hearing_Loss,0.6699999999999999,0.77,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Renal_Failure,0.7699999999999999,0.87,MenC,4283.980661763049,4283.980661763049,0,0
u_Renal_Failure,0.7699999999999999,0.87,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Renal_Failure,0.7699999999999999,0.87,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Renal_Failure,0.7699999999999999,0.87,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Seizure,0.7799999999999999,0.88,MenC,4283.980661763049,4283.980661763049,0,0
u_Seizure,0.7799999999999999,0.88,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Seizure,0.7799999999999999,0.88,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Seizure,0.7799999999999999,0.88,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Paralysis,0.21000000000000002,0.31,MenC,4283.980661763049,4283.980661763049,0,0
u_Paralysis,0.21000000000000002,0.31,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Paralysis,0.21000000000000002,0.31,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Paralysis,0.21000000000000002,0.31,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Scarring,9531.9,17702.100000000002,MenC,4283.980661763049,4283.980661763049,0,0
c_Scarring,9531.9,17702.100000000002,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Scarring,9531.9,17702.100000000002,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Scarring,9531.9,17702.100000000002,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Single_Amput,26730.899999999998,49643.1,MenC,4283.980661763049,4283.980661763049,0,0
c_Single_Amput,26730.899999999998,49643.1,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Single_Amput,26730.899999999998,49643.1,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Single_Amput,26730.899999999998,49643.1,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
